epoch,loss,r2_2,val_loss,val_r2_2
0,0.84003955783844,0.15049481,0.838313437461853,0.17896089
1,0.7840181228637695,0.20682633,0.8022011451721192,0.21486512
2,0.751238279056549,0.23992276,0.792614504814148,0.21937221
3,0.732993842792511,0.25709534,0.7664683462619781,0.25090644
4,0.7127631407737732,0.2776935,0.7631552276134491,0.25086716
5,0.6953206366539001,0.293753,0.7474890202045441,0.26299027
6,0.6825821883201599,0.3094414,0.762274828338623,0.2541981
7,0.6701697671890259,0.32135975,0.7491861293792724,0.26217434
8,0.6642231819152832,0.32529736,0.7232418266296387,0.28975248
9,0.65498419008255,0.33738762,0.7201793783187866,0.29796582
10,0.6501618800163269,0.34035248,0.7237442848205566,0.289409
11,0.6461372936248779,0.34404057,0.7281467868804932,0.28642508
12,0.6416138721466065,0.34728423,0.7483902704238892,0.25602558
13,0.6380857593536376,0.35264283,0.7263187294960022,0.283425
14,0.6284720285892487,0.36078596,0.7252142635822296,0.2872681
15,0.6293442991256714,0.36119387,0.720024330329895,0.29712126
16,0.6222835621833801,0.36743385,0.7470748161315918,0.26405504
17,0.6165282419681549,0.37147158,0.720581881570816,0.29498112
18,0.6150796521663666,0.3740587,0.7403004786968231,0.27319142
19,0.6127414694786072,0.37682742,0.7363554067611694,0.2785122
20,0.6066623110771179,0.38377914,0.7333752668380737,0.28271663
21,0.6020975400924683,0.38493493,0.7426057789325714,0.27236685
22,0.5996697610378265,0.3889884,0.736547741317749,0.2722445
23,0.5953643456935882,0.39265087,0.7340851110458374,0.28060785
24,0.5961667557716369,0.39225063,0.7319790634155273,0.27942777
25,0.5869622437477112,0.39966765,0.7493947690963745,0.2608593
